	rt	stimuli	response	correct_key	correct	accuracy	task_type	switch
1	1452.0	R6	b	b	True	1.0	letter_task	False
2	1546.0	R4	b	n	False	0.5	number_task	True
3	1809.0	R4	b	b	True	0.6666666666666666	letter_task	True
4	1733.0	U8	n	n	True	0.75	letter_task	False
5		I3		b	False	0.6	number_task	True
6	1498.0	U7	b	n	False	0.5	letter_task	True
7	902.0	M3	b	b	True	0.5714285714285714	letter_task	False
8	1291.0	K3	n	b	False	0.5	number_task	True
9	907.0	A7	b	b	True	0.5555555555555556	number_task	False
10	761.0	A3	b	b	True	0.6	number_task	False
11	1390.0	R5	b	b	True	0.6363636363636364	letter_task	True
12	1757.0	A3	n	n	True	0.6666666666666666	letter_task	False
13	1537.0	G9	n	b	False	0.6153846153846154	number_task	True
14	1390.0	U8	b	n	False	0.5714285714285714	letter_task	True
15	1426.0	G5	b	b	True	0.6	number_task	True
16	1261.0	E8	n	n	True	0.625	number_task	False
17	1492.0	R6	b	n	False	0.5882352941176471	number_task	False
18	966.0	I9	b	b	True	0.6111111111111112	number_task	False
19	966.0	R9	b	b	True	0.631578947368421	number_task	False
20	1303.0	M5	b	b	True	0.65	letter_task	True
21	879.0	R6	n	b	False	0.0	letter_task	False
22	1034.0	R4	n	n	True	0.5	number_task	True
23	1065.0	R4	b	b	True	0.6666666666666666	letter_task	True
24	1006.0	U8	n	n	True	0.75	letter_task	False
25	1457.0	I3	b	b	True	0.8	number_task	True
26	1401.0	U7	n	n	True	0.8333333333333334	letter_task	True
27	855.0	M3	b	b	True	0.8571428571428571	letter_task	False
28	1199.0	K3	b	b	True	0.875	number_task	True
29	1403.0	A7	b	b	True	0.8888888888888888	number_task	False
30	770.0	A3	b	b	True	0.9	number_task	False
31	687.0	R5	n	b	False	0.8181818181818182	letter_task	True
32	1987.0	A3	n	n	True	0.8333333333333334	letter_task	False
33	1544.0	G9	b	b	True	0.8461538461538461	number_task	True
34	1744.0	U8	n	n	True	0.8571428571428571	letter_task	True
35	1967.0	G5	b	b	True	0.8666666666666667	number_task	True
36	895.0	E8	n	n	True	0.875	number_task	False
37	818.0	R6	n	n	True	0.8823529411764706	number_task	False
38	958.0	I9	b	b	True	0.8888888888888888	number_task	False
39	893.0	R9	b	b	True	0.8947368421052632	number_task	False
40	1520.0	M5	b	b	True	0.9	letter_task	True
41	857.0	R6	b	b	True	1.0	letter_task	False
42	803.0	R4	n	n	True	1.0	number_task	True
43	986.0	R4	b	b	True	1.0	letter_task	True
44	1091.0	U8	n	n	True	1.0	letter_task	False
45	947.0	I3	b	b	True	1.0	number_task	True
46	597.0	U7	n	n	True	1.0	letter_task	True
47	454.0	M3	b	b	True	1.0	letter_task	False
48	560.0	K3	n	b	False	0.875	number_task	True
49	786.0	A7	b	b	True	0.8888888888888888	number_task	False
50	825.0	A3	b	b	True	0.9	number_task	False
51	860.0	R5	n	b	False	0.8181818181818182	letter_task	True
52	916.0	A3	n	n	True	0.8333333333333334	letter_task	False
